seguro,simbolizacion,perdidas_normalizadas,hecho,tipo_combustible,aspiracion,num_puertas,estilo_cuerpo,ruedas_motrices,ubicacion_motor,ancho,altura,tipo_motor,num_de_cilindros,sistema_de_combustible,diametro_cilindro,recorrido_piston,caballos_fuerza,rpm_maximo,precio
riesgoso,-2,103.0,volvo,gas,std,four,sedan,rwd,front,67.2,56.2,ohc,four,mpfi,3.78,3.15,114.0,5400.0,12940.0
riesgoso,-2,103.0,volvo,gas,std,four,sedan,rwd,front,67.2,56.2,ohc,four,mpfi,3.78,3.15,114.0,5400.0,15985.0
riesgoso,-2,103.0,volvo,gas,turbo,four,sedan,rwd,front,67.2,56.2,ohc,four,mpfi,3.62,3.15,162.0,5100.0,18420.0
riesgoso,-1,110.0,dodge,gas,std,four,wagon,fwd,front,64.6,59.8,ohc,four,2bbl,3.34,3.46,88.0,5000.0,8921.0
riesgoso,-1,93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,70.3,56.5,ohc,five,idi,3.58,3.64,123.0,4350.0,25552.0
riesgoso,-1,93.0,mercedes-benz,diesel,turbo,four,wagon,rwd,front,70.3,58.7,ohc,five,idi,3.58,3.64,123.0,4350.0,28248.0
riesgoso,-1,93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,71.7,56.3,ohc,five,idi,3.58,3.64,123.0,4350.0,31600.0
riesgoso,-1,82.89,mercedes-benz,gas,std,four,sedan,rwd,front,71.7,56.5,ohcv,eight,mpfi,3.46,3.1,155.0,4750.0,34184.0
riesgoso,-1,82.89,mitsubishi,gas,std,four,sedan,fwd,front,65.4,51.6,ohc,four,spdi,3.17,3.46,116.0,5500.0,9279.0
riesgoso,-1,74.0,plymouth,gas,std,four,wagon,fwd,front,64.6,59.8,ohc,four,2bbl,3.35,3.46,88.0,5000.0,8921.0
riesgoso,-1,65.0,toyota,gas,std,four,sedan,fwd,front,66.5,54.9,ohc,four,mpfi,3.31,3.54,92.0,4200.0,8948.0
riesgoso,-1,65.0,toyota,diesel,turbo,four,sedan,fwd,front,66.5,54.9,ohc,four,idi,3.27,3.35,73.0,4500.0,10698.0
riesgoso,-1,65.0,toyota,gas,std,four,hatchback,fwd,front,66.5,53.9,ohc,four,mpfi,3.31,3.54,92.0,4200.0,9988.0
riesgoso,-1,65.0,toyota,gas,std,four,sedan,fwd,front,66.5,54.9,ohc,four,mpfi,3.31,3.54,92.0,4200.0,10898.0
riesgoso,-1,65.0,toyota,gas,std,four,hatchback,fwd,front,66.5,53.9,ohc,four,mpfi,3.31,3.54,92.0,4200.0,11248.0
riesgoso,-1,90.0,toyota,gas,std,four,sedan,rwd,front,66.5,54.1,dohc,six,mpfi,3.27,3.35,156.0,5200.0,15690.0
riesgoso,-1,82.89,toyota,gas,std,four,wagon,rwd,front,66.5,54.1,dohc,six,mpfi,3.27,3.35,156.0,5200.0,15750.0
riesgoso,-1,74.0,volvo,gas,std,four,wagon,rwd,front,67.2,57.5,ohc,four,mpfi,3.78,3.15,114.0,5400.0,13415.0
riesgoso,-1,74.0,volvo,gas,std,four,wagon,rwd,front,67.2,57.5,ohc,four,mpfi,3.78,3.15,114.0,5400.0,16515.0
