riesgoso,simbolizacion,perdidas_normalizadas,hecho,tipo_combustible,aspiracion,num_puertas,estilo_cuerpo,ruedas_motrices,ubicacion_motor,rueda_base,largo,ancho,altura,peso_en_vacío,tipo_motor,num_de_cilindros,tamanio_motor,sistema_de_combustible,diametro_cilindro,recorrido_piston,relacion_compresion,caballos_fuerza,rpm_maximo,consumo_ciudad_mpg,consumo_carretera_mpg,precio
,3,,alfa-romero,gas,std,two,convertible,rwd,front,88.60,168.80,64.10,48.80,2.548,dohc,four,130,mpfi,"3,47","2,68","9,00",111,5.000,21,27,"13.495,00"
,3,,alfa-romero,gas,std,two,convertible,rwd,front,88.60,168.80,64.10,48.80,2.548,dohc,four,130,mpfi,"3,47","2,68","9,00",111,5.000,21,27,"16.500,00"
,1,,alfa-romero,gas,std,two,hatchback,rwd,front,94.50,171.20,65.50,52.40,2.823,ohcv,six,152,mpfi,"2,68","3,47","9,00",154,5.000,19,26,"16.500,00"
,2,164,audi,gas,std,four,sedan,fwd,front,99.80,176.60,66.20,54.30,2.337,ohc,four,109,mpfi,"3,19","3,40","10,00",102,5.500,24,30,"13.950,00"
,2,164,audi,gas,std,four,sedan,4wd,front,99.40,176.60,66.40,54.30,2.824,ohc,five,136,mpfi,"3,19","3,40","8,00",115,5.500,18,22,"17.450,00"
,2,,audi,gas,std,two,sedan,fwd,front,99.80,177.30,66.30,53.10,2.507,ohc,five,136,mpfi,"3,19","3,40","8,50",110,5.500,19,25,"15.250,00"
,1,158,audi,gas,std,four,sedan,fwd,front,105.80,192.70,71.40,55.70,2.844,ohc,five,136,mpfi,"3,19","3,40","8,50",110,5.500,19,25,"17.710,00"
,1,,audi,gas,std,four,wagon,fwd,front,105.80,192.70,71.40,55.70,2.954,ohc,five,136,mpfi,"3,19","3,40","8,50",110,5.500,19,25,"18.920,00"
,1,158,audi,gas,turbo,four,sedan,fwd,front,105.80,192.70,71.40,55.90,3.086,ohc,five,131,mpfi,"3,13","3,40","8,30",140,5.500,17,20,"23.875,00"
,0,,audi,gas,turbo,two,hatchback,4wd,front,99.50,178.20,67.90,52.00,3.053,ohc,five,131,mpfi,"3,13","3,40","7,00",160,5.500,16,22,
